Iceland,ISL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.162727447
Israel,ISR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,9.248911276
Italy,ITA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.836836362
Jamaica,JAM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.661482232
Jordan,JOR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.781778689
Japan,JPN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,9.026938393
Kazakhstan,KAZ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,13.69757096
Kenya,KEN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.300732674
Kyrgyz Republic,KGZ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.16558674
Cambodia,KHM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.343762544
Kiribati,KIR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.485767026
St. Kitts and Nevis,KNA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.896859889
"Korea, Rep.",KOR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,11.58854385
Kuwait,KWT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,26.15408886
Latin America & Caribbean (excluding high income),LAC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.455248146
Lao PDR,LAO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.46086135
Lebanon,LBN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.215572421
Liberia,LBR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.187595227
Libya,LBY,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,9.234119871
St. Lucia,LCA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.297635733
Latin America & Caribbean,LCN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.735001929
Least developed countries: UN classification,LDC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.259435136
Low income,LIC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.391044896
Liechtenstein,LIE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.278364263
